author,conference,title,year
"{'Troels Bjerre Sørensen', 'Andrew Gilpin', 'Tuomas Sandholm'}",AAAI,"potential-aware automated abstraction of sequential games, and holistic equilibrium analysis of texas hold'em poker.",2007
"{'Sebastian Rudolph', 'Markus Krötzsch', 'Pascal Hitzler'}",AAAI,complexity boundaries for horn description logics.,2007
"{'Laurence A. Kramer', 'Stephen F. Smith', 'Laura Barbulescu'}",AAAI,understanding performance tradeoffs in algorithms for solving oversubscribed scheduling.,2007
"{'Shlomo Zilberstein', 'Marek Petrik'}",AAAI,anytime coordination using separable bilinear programs.,2007
"{'Richard E. Korf', 'P. Alex Dow'}",AAAI,best-first search for treewidth.,2007
{'Toby Walsh'},AAAI,uncertainty in preference elicitation and aggregation.,2007
"{'David L. Buckeridge', 'Masoumeh T. Izadi'}",AAAI,optimizing anthrax outbreak detection using reinforcement learning.,2007
"{'Daniel Hansch', 'Shaw Yi Chaw', 'Moritz Weiten', 'Ken Barker', 'Bonnie E. John', 'Peter Clark', 'Aaron Spaulding', 'John Pacheco', 'Vinay K. Chaudhri', 'Sunil Mishra', 'Bruce W. Porter'}",AAAI,aura: enabling subject matter experts to construct declarative knowledge bases from science textbooks.,2007
"{'Geoffrey J. Gordon', 'H. Brendan McMahan'}",AAAI,a unification of extensive-form games and markov decision processes.,2007
"{'Thomas Bittner', 'Maureen Donnelly'}",AAAI,a temporal mereology for distinguishing between integral objects and portions of stuff.,2007
{'Meghyn Bienvenu'},AAAI,prime implicates and prime implicants in modal logic.,2007
"{'Humphrey Sorensen', ""Colm O'Riordan"", 'Dara Curran'}",AAAI,evolutionary and lifetime learning in varying nk fitness landscape changing environments: an analysis of both fitness and diversity.,2007
"{'Albert Xin Jiang', 'Kevin Leyton-Brown'}",AAAI,computing pure nash equilibria in symmetric action graph games.,2007
"{'Nancy Templeton', 'Sydnor Smalera', 'Steve Opdahl', 'Robin Landsman', 'Srinivas Krovvidy'}",AAAI,custom du® - a web based business user driven automated underwriting system.,2007
"{'John Huddleston', 'Jianna Zhang'}",AAAI,evolutionary rhythm composition with trajectory-based fitness evaluation.,2007
"{'Hila Becker', 'Christopher Meek', 'David Maxwell Chickering'}",AAAI,modeling contextual factors of click rates.,2007
"{'Tristram Southey', 'David G. Lowe', 'Per-Erik Forssén', 'James J. Little', 'Pooyan Fazli', 'Scott Helmer', 'Sancho McCann', 'David Meger'}",AAAI,the ubc semantic robot vision system.,2007
{'Leen-Kiat Soh'},AAAI,integrated introspective case-based reasoning for intelligent tutoring systems.,2007
"{'Pearl Pu', 'Alexandre Papadopoulos', ""Barry O'Sullivan"", 'Boi Faltings'}",AAAI,representative explanations for over-constrained problems.,2007
"{'Pascal Van Hentenryck', 'Laurent D. Michel'}",AAAI,synthesis of constraint-based local search algorithms from high-level models.,2007
{'Heiner Stuckenschmidt'},AAAI,partial matchmaking using approximate subsumption.,2007
"{'Rong Jin', 'Feilong Chen'}",AAAI,active algorithm selection.,2007
{'Anthony Hunter'},AAAI,real arguments are approximate arguments.,2007
"{'Bruno Norberto da Silva', 'Ana Cristina Bicharra Garcia'}",AAAI,ka-captcha: an opportunity for knowledge acquisition on the web.,2007
{'Dongmo Zhang'},AAAI,reasoning about bargaining situations.,2007
{'Eric A. Hansen'},AAAI,indefinite-horizon pomdps with action-based termination.,2007
"{'John Collins', 'Maria L. Gini', 'Eric Sodomka'}",AAAI,efficient statistical methods for evaluating trading agent performance.,2007
"{'Aaron P. Shon', 'Deepak Verma', 'Rajesh P. N. Rao'}",AAAI,active imitation learning.,2007
"{'Xiangyu Duan', 'Bo Xu', 'Jun Zhao 0001'}",AAAI,ungreedy methods for chinese deterministic dependency parsing.,2007
{'Sofus A. Macskassy'},AAAI,improving learning in networked data by combining explicit and mined links.,2007
"{'Juan Carlos Niebles', 'Fei-Fei Li', 'Li-Jia Li'}",AAAI,optimol: a framework for online picture collection via incremental model learning.,2007
"{'Chuck Kalish', 'Timothy T. Rogers', 'Xiaojin Zhu 0001', 'Ruichen Qian'}",AAAI,humans perform semi-supervised classification too.,2007
"{'Jordan Sorensen', 'Kenneth Wu', 'Michel Rbeiz', 'David Singer', 'Kimberle Koile', 'Kevin Chevalier', 'Amanda Smith', 'Adam Rogal', 'Kah Seng Tay'}",AAAI,supporting feedback and assessment of digital ink answers to in-class exercises.,2007
